4  swift                    swift::SourceManager::GetMessage(swift::SourceLoc, llvm::SourceMgr::DiagKind, llvm::Twine const&, llvm::ArrayRef<llvm::SMRange>, llvm::ArrayRef<llvm::SMFixIt>) const + 162
5  swift                    swift::PrintingDiagnosticConsumer::handleDiagnostic(swift::SourceManager&, swift::SourceLoc, swift::DiagnosticKind, llvm::StringRef, swift::DiagnosticInfo const&) + 1054
6  swift                    swift::DiagnosticEngine::flushActiveDiagnostic() + 4667
7  swift                    swift::Parser::parseDecl(llvm::SmallVectorImpl<swift::Decl*>&, swift::OptionSet<swift::Parser::ParseDeclFlags, unsigned int>) + 3120
8  swift                    std::__1::__function::__func<swift::Parser::parseNominalDeclMembers(llvm::SmallVectorImpl<swift::Decl*>&, swift::SourceLoc, swift::SourceLoc&, swift::Diag<>, swift::OptionSet<swift::Parser::ParseDeclFlags, unsigned int>)::$_6, std::__1::allocator<swift::Parser::parseNominalDeclMembers(llvm::SmallVectorImpl<swift::Decl*>&, swift::SourceLoc, swift::SourceLoc&, swift::Diag<>, swift::OptionSet<swift::Parser::ParseDeclFlags, unsigned int>)::$_6>, swift::ParserStatus ()>::operator()() + 146
9  swift                    swift::Parser::parseList(swift::tok, swift::SourceLoc, swift::SourceLoc&, swift::tok, bool, bool, swift::Diag<>, std::__1::function<swift::ParserStatus ()>) + 465
10 swift                    swift::Parser::parseDeclStruct(swift::OptionSet<swift::Parser::ParseDeclFlags, unsigned int>, swift::DeclAttributes&) + 1124
155 swift                    swift::Parser::parseExprImpl(swift::Diag<>, bool) + 138
156 swift                    swift::Parser::parseExprOrStmt(swift::ASTNode&) + 401
157 swift                    swift::Parser::parseBraceItems(llvm::SmallVectorImpl<swift::ASTNode>&, swift::BraceItemListKind, swift::BraceItemListKind) + 2335
158 swift                    swift::Parser::parseExprClosure() + 914
159 swift                    swift::Parser::parseExprPostfix(swift::Diag<>, bool) + 4688
160 swift                    swift::Parser::parseExprUnary(swift::Diag<>, bool) + 805
161 swift                    swift::Parser::parseExprSequence(swift::Diag<>, bool, bool) + 153
162 swift                    swift::Parser::parseExprImpl(swift::Diag<>, bool) + 138
163 swift                    swift::Parser::parseExprCollection() + 298
164 swift                    swift::Parser::parseExprPostfix(swift::Diag<>, bool) + 1313
165 swift                    swift::Parser::parseExprUnary(swift::Diag<>, bool) + 805
166 swift                    swift::Parser::parseExprSequence(swift::Diag<>, bool, bool) + 153
167 swift                    swift::Parser::parseExprImpl(swift::Diag<>, bool) + 138
168 swift                    swift::Parser::parseExprOrStmt(swift::ASTNode&) + 401
169 swift                    swift::Parser::parseBraceItems(llvm::SmallVectorImpl<swift::ASTNode>&, swift::BraceItemListKind, swift::BraceItemListKind) + 2335
170 swift                    swift::Parser::parseExprClosure() + 914
171 swift                    swift::Parser::parseExprPostfix(swift::Diag<>, bool) + 1291
172 swift                    swift::Parser::parseExprUnary(swift::Diag<>, bool) + 805
173 swift                    swift::Parser::parseExprSequence(swift::Diag<>, bool, bool) + 153
174 swift                    swift::Parser::parseExprImpl(swift::Diag<>, bool) + 138
175 swift                    swift::Parser::parseExprOrStmt(swift::ASTNode&) + 401
176 swift                    swift::Parser::parseBraceItems(llvm::SmallVectorImpl<swift::ASTNode>&, swift::BraceItemListKind, swift::BraceItemListKind) + 2335
177 swift                    swift::Parser::parseExprClosure() + 914
178 swift                    swift::Parser::parseExprPostfix(swift::Diag<>, bool) + 1291
179 swift                    swift::Parser::parseExprUnary(swift::Diag<>, bool) + 805
180 swift                    swift::Parser::parseExprSequence(swift::Diag<>, bool, bool) + 153
181 swift                    swift::Parser::parseExprImpl(swift::Diag<>, bool) + 138
182 swift                    swift::Parser::parseExprOrStmt(swift::ASTNode&) + 401
183 swift                    swift::Parser::parseBraceItems(llvm::SmallVectorImpl<swift::ASTNode>&, swift::BraceItemListKind, swift::BraceItemListKind) + 2335
184 swift                    swift::Parser::parseBraceItemList(swift::Diag<>) + 109
185 swift                    swift::Parser::parseDeclFunc(swift::SourceLoc, swift::StaticSpellingKind, swift::OptionSet<swift::Parser::ParseDeclFlags, unsigned int>, swift::DeclAttributes&) + 2552
186 swift                    swift::Parser::parseDecl(llvm::SmallVectorImpl<swift::Decl*>&, swift::OptionSet<swift::Parser::ParseDeclFlags, unsigned int>) + 2359
187 swift                    swift::Parser::parseBraceItems(llvm::SmallVectorImpl<swift::ASTNode>&, swift::BraceItemListKind, swift::BraceItemListKind) + 796
188 swift                    swift::Parser::parseExprClosure() + 914
189 swift                    swift::Parser::parseExprPostfix(swift::Diag<>, bool) + 4688
190 swift                    swift::Parser::parseExprUnary(swift::Diag<>, bool) + 805
191 swift                    swift::Parser::parseExprSequence(swift::Diag<>, bool, bool) + 153
192 swift                    swift::Parser::parseExprImpl(swift::Diag<>, bool) + 138
193 swift                    swift::Parser::parseExprCollection() + 298
194 swift                    swift::Parser::parseExprPostfix(swift::Diag<>, bool) + 1313
195 swift                    swift::Parser::parseExprUnary(swift::Diag<>, bool) + 805
196 swift                    swift::Parser::parseExprSequence(swift::Diag<>, bool, bool) + 153
197 swift                    swift::Parser::parseExprImpl(swift::Diag<>, bool) + 138
198 swift                    swift::Parser::parseExprCollection() + 298
199 swift                    swift::Parser::parseExprPostfix(swift::Diag<>, bool) + 1313
200 swift                    swift::Parser::parseExprUnary(swift::Diag<>, bool) + 805
201 swift                    swift::Parser::parseExprSequence(swift::Diag<>, bool, bool) + 153
202 swift                    swift::Parser::parseExprImpl(swift::Diag<>, bool) + 138
203 swift                    swift::Parser::parseExprCollection() + 298
204 swift                    swift::Parser::parseExprPostfix(swift::Diag<>, bool) + 1313
205 swift                    swift::Parser::parseExprUnary(swift::Diag<>, bool) + 805
206 swift                    swift::Parser::parseExprSequence(swift::Diag<>, bool, bool) + 153
207 swift                    swift::Parser::parseExprImpl(swift::Diag<>, bool) + 138
208 swift                    swift::Parser::parseExprCollection() + 298
209 swift                    swift::Parser::parseExprPostfix(swift::Diag<>, bool) + 1313
210 swift                    swift::Parser::parseExprUnary(swift::Diag<>, bool) + 805
211 swift                    swift::Parser::parseExprSequence(swift::Diag<>, bool, bool) + 153
212 swift                    std::__1::__function::__func<swift::Parser::parseExprList(swift::tok, swift::tok)::$_0, std::__1::allocator<swift::Parser::parseExprList(swift::tok, swift::tok)::$_0>, swift::ParserStatus ()>::operator()() + 461
213 swift                    swift::Parser::parseList(swift::tok, swift::SourceLoc, swift::SourceLoc&, swift::tok, bool, bool, swift::Diag<>, std::__1::function<swift::ParserStatus ()>) + 465
214 swift                    swift::Parser::parseExprList(swift::tok, swift::tok) + 328
215 swift                    swift::Parser::parseExprPostfix(swift::Diag<>, bool) + 1269
216 swift                    swift::Parser::parseExprUnary(swift::Diag<>, bool) + 805
217 swift                    swift::Parser::parseExprSequence(swift::Diag<>, bool, bool) + 153
218 swift                    std::__1::__function::__func<swift::Parser::parseExprList(swift::tok, swift::tok)::$_0, std::__1::allocator<swift::Parser::parseExprList(swift::tok, swift::tok)::$_0>, swift::ParserStatus ()>::operator()() + 461
219 swift                    swift::Parser::parseList(swift::tok, swift::SourceLoc, swift::SourceLoc&, swift::tok, bool, bool, swift::Diag<>, std::__1::function<swift::ParserStatus ()>) + 465
220 swift                    swift::Parser::parseExprList(swift::tok, swift::tok) + 328
221 swift                    swift::Parser::parseExprPostfix(swift::Diag<>, bool) + 1269
222 swift                    swift::Parser::parseExprUnary(swift::Diag<>, bool) + 805
223 swift                    swift::Parser::parseExprSequence(swift::Diag<>, bool, bool) + 153
224 swift                    std::__1::__function::__func<swift::Parser::parseExprList(swift::tok, swift::tok)::$_0, std::__1::allocator<swift::Parser::parseExprList(swift::tok, swift::tok)::$_0>, swift::ParserStatus ()>::operator()() + 461
225 swift                    swift::Parser::parseList(swift::tok, swift::SourceLoc, swift::SourceLoc&, swift::tok, bool, bool, swift::Diag<>, std::__1::function<swift::ParserStatus ()>) + 465
226 swift                    swift::Parser::parseExprList(swift::tok, swift::tok) + 328
227 swift                    swift::Parser::parseExprPostfix(swift::Diag<>, bool) + 1269
228 swift                    swift::Parser::parseExprUnary(swift::Diag<>, bool) + 805
229 swift                    swift::Parser::parseExprSequence(swift::Diag<>, bool, bool) + 153
230 swift                    std::__1::__function::__func<swift::Parser::parseExprList(swift::tok, swift::tok)::$_0, std::__1::allocator<swift::Parser::parseExprList(swift::tok, swift::tok)::$_0>, swift::ParserStatus ()>::operator()() + 461
231 swift                    swift::Parser::parseList(swift::tok, swift::SourceLoc, swift::SourceLoc&, swift::tok, bool, bool, swift::Diag<>, std::__1::function<swift::ParserStatus ()>) + 465
232 swift                    swift::Parser::parseExprList(swift::tok, swift::tok) + 328
233 swift                    swift::Parser::parseExprPostfix(swift::Diag<>, bool) + 1269
234 swift                    swift::Parser::parseExprUnary(swift::Diag<>, bool) + 805
235 swift                    swift::Parser::parseExprSequence(swift::Diag<>, bool, bool) + 153
236 swift                    std::__1::__function::__func<swift::Parser::parseExprList(swift::tok, swift::tok)::$_0, std::__1::allocator<swift::Parser::parseExprList(swift::tok, swift::tok)::$_0>, swift::ParserStatus ()>::operator()() + 461
237 swift                    swift::Parser::parseList(swift::tok, swift::SourceLoc, swift::SourceLoc&, swift::tok, bool, bool, swift::Diag<>, std::__1::function<swift::ParserStatus ()>) + 465
238 swift                    swift::Parser::parseExprList(swift::tok, swift::tok) + 328
239 swift                    swift::Parser::parseExprCallSuffix(swift::ParserResult<swift::Expr>, swift::Identifier, swift::SourceLoc) + 93
240 swift                    swift::Parser::parseExprPostfix(swift::Diag<>, bool) + 394
241 swift                    swift::Parser::parseExprUnary(swift::Diag<>, bool) + 805
242 swift                    swift::Parser::parseExprSequence(swift::Diag<>, bool, bool) + 153
243 swift                    swift::Parser::parseExprImpl(swift::Diag<>, bool) + 138
244 swift                    swift::Parser::parseDeclVar(swift::OptionSet<swift::Parser::ParseDeclFlags, unsigned int>, swift::DeclAttributes&, llvm::SmallVectorImpl<swift::Decl*>&, swift::SourceLoc, swift::StaticSpellingKind) + 1866
245 swift                    swift::Parser::parseDecl(llvm::SmallVectorImpl<swift::Decl*>&, swift::OptionSet<swift::Parser::ParseDeclFlags, unsigned int>) + 1964
246 swift                    swift::Parser::parseBraceItems(llvm::SmallVectorImpl<swift::ASTNode>&, swift::BraceItemListKind, swift::BraceItemListKind) + 796
247 swift                    swift::Parser::parseBraceItemList(swift::Diag<>) + 109
248 swift                    swift::Parser::parseDeclFunc(swift::SourceLoc, swift::StaticSpellingKind, swift::OptionSet<swift::Parser::ParseDeclFlags, unsigned int>, swift::DeclAttributes&) + 2552
249 swift                    swift::Parser::parseDecl(llvm::SmallVectorImpl<swift::Decl*>&, swift::OptionSet<swift::Parser::ParseDeclFlags, unsigned int>) + 2359
250 swift                    swift::Parser::parseBraceItems(llvm::SmallVectorImpl<swift::ASTNode>&, swift::BraceItemListKind, swift::BraceItemListKind) + 796
251 swift                    swift::Parser::parseExprClosure() + 914
252 swift                    swift::Parser::parseExprPostfix(swift::Diag<>, bool) + 1291
253 swift                    swift::Parser::parseExprUnary(swift::Diag<>, bool) + 805
254 swift                    swift::Parser::parseExprSequence(swift::Diag<>, bool, bool) + 153
255 swift                    swift::Parser::parseExprImpl(swift::Diag<>, bool) + 138
